# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.244912 -49604.4 60
200 0.244912 -49604.4 60
300 0.244912 -49604.4 60
400 0.244912 -49604.4 60
500 0.244912 -49604.4 60
600 0.244912 -49604.4 60
700 0.244912 -49604.4 60
800 0.244912 -49604.4 60
900 0.244912 -49604.4 60
1000 0.244912 -49604.4 60
1100 0.244912 -49604.4 60
1200 0.244912 -49604.4 60
1300 0.244912 -49604.4 60
1400 0.244912 -49604.4 60
1500 0.244912 -49604.4 60
1600 0.244912 -49604.4 60
1700 0.244912 -49604.4 60
1800 0.244912 -49604.4 60
1900 0.244912 -49604.4 60
2000 0.244912 -49604.4 60
2100 0.244912 -49604.4 60
2200 0.244912 -49604.4 60
2300 0.244912 -49604.4 60
2400 0.244912 -49604.4 60
2500 0.244912 -49604.4 60
2600 0.244912 -49604.4 60
2700 0.244912 -49604.4 60
2800 0.244912 -49604.4 60
2900 0.244912 -49604.4 60
3000 0.244912 -49604.4 60
3100 0.244912 -49604.4 60
3200 0.244912 -49604.4 60
3300 0.244912 -48568.6 60
3400 0.244912 -48453.5 60
3500 0.244912 -48453.5 60
3600 0.244912 -48453.5 60
3700 0.244912 -48453.5 60
3800 0.244912 -48869.6 60
3900 0.244912 -49493.8 60
4000 0.244912 -49493.8 60
4100 0.244912 -49493.8 60
4200 0.244912 -49493.8 60
4300 0.244912 -49375.6 60
4400 0.244912 -49362.5 60
4500 0.244912 -49362.5 60
4600 0.244912 -49534.7 60
4700 0.244912 -49608.6 60
4800 0.244912 -49608.6 60
