# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.212257 -14177.3 52
200 0.212257 -14292.6 52
300 0.212257 -14292.6 52
400 0.212257 -14292.6 52
500 0.212257 -14292.6 52
600 0.212257 -14292.6 52
700 0.212257 -14292.6 52
800 0.212257 -14292.6 52
900 0.212257 -14292.6 52
1000 0.212257 -14292.6 52
1100 0.212257 -14292.6 52
1200 0.212257 -14292.6 52
1300 0.212257 -14292.6 52
1400 0.212257 -14292.6 52
1500 0.212257 -14292.6 52
1600 0.212257 -14315 52
1700 0.212257 -14404.6 52
1800 0.212257 -14044.5 52
1900 0.212257 -13504.4 52
2000 0.212257 -13504.4 52
2100 0.212257 -13504.4 52
2200 0.212257 -13504.4 52
2300 0.212257 -13504.4 52
2400 0.212257 -12896.5 52
2500 0.212257 -12891.2 52
2600 0.212257 -13274.1 52
2700 0.212257 -13443.3 52
2800 0.212257 -13838 52
2900 0.212257 -13838 52
3000 0.212257 -13838 52
3100 0.212257 -13838 52
3200 0.212257 -13838 52
3300 0.212257 -13884.1 52
3400 0.212257 -13991.6 52
3500 0.212257 -13991.6 52
3600 0.212257 -13991.6 52
3700 0.212257 -13991.6 52
3800 0.212257 -13878.3 52
3900 0.212257 -13765 52
4000 0.212257 -13765 52
4100 0.212257 -13765 52
