# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.200012 -10202 49
200 0.200012 -10027.4 49
300 0.200012 -9852.82 49
400 0.200012 -9852.82 49
500 0.200012 -9852.82 49
600 0.200012 -9852.82 49
700 0.200012 -9852.82 49
800 0.200012 -9852.82 49
900 0.200012 -9852.82 49
1000 0.200012 -9852.82 49
1100 0.200012 -9852.82 49
1200 0.200012 -9852.82 49
1300 0.200012 -9852.82 49
1400 0.200012 -9852.82 49
1500 0.200012 -9852.82 49
1600 0.200012 -9852.82 49
1700 0.200012 -9852.82 49
1800 0.200012 -9852.82 49
1900 0.200012 -9852.82 49
2000 0.200012 -9852.82 49
2100 0.200012 -9419.11 49
2200 0.200012 -8985.39 49
2300 0.200012 -8985.39 49
2400 0.200012 -8985.39 49
2500 0.200012 -8985.39 49
2600 0.200012 -8985.39 49
2700 0.200012 -8985.39 49
2800 0.200012 -8985.39 49
2900 0.200012 -8985.39 49
3000 0.200012 -8985.39 49
3100 0.200012 -8985.39 49
3200 0.200012 -8985.39 49
3300 0.200012 -8985.39 49
3400 0.200012 -8985.39 49
3500 0.200012 -8985.39 49
3600 0.200012 -8985.39 49
3700 0.200012 -9495.78 49
3800 0.200012 -9623.38 49
