# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.257158 -13903.1 63
200 0.257158 -13903.1 63
300 0.257158 -13903.1 63
400 0.257158 -13903.1 63
500 0.257158 -13903.1 63
600 0.257158 -13903.1 63
700 0.257158 -13549.7 63
800 0.257158 -13461.3 63
900 0.257158 -13461.3 63
1000 0.257158 -13461.3 63
1100 0.257158 -13461.3 63
1200 0.257158 -13461.3 63
1300 0.257158 -13461.3 63
1400 0.257158 -13461.3 63
1500 0.257158 -13461.3 63
1600 0.257158 -13461.3 63
1700 0.257158 -13461.3 63
1800 0.257158 -13461.3 63
1900 0.257158 -13461.3 63
2000 0.257158 -13461.3 63
2100 0.257158 -13461.3 63
2200 0.257158 -13267 63
2300 0.257158 -13245.4 63
2400 0.257158 -13245.4 63
2500 0.257158 -13245.4 63
2600 0.257158 -13245.4 63
2700 0.257158 -13245.4 63
2800 0.257158 -13245.4 63
2900 0.257158 -13245.4 63
3000 0.257158 -13245.4 63
3100 0.257158 -13245.4 63
3200 0.257158 -13245.4 63
3300 0.257158 -13245.4 63
3400 0.257158 -13245.4 63
3500 0.257158 -13245.4 63
3600 0.257158 -13245.4 63
3700 0.257158 -13245.4 63
3800 0.257158 -13245.4 63
3900 0.257158 -13245.4 63
4000 0.257158 -13245.4 63
4100 0.257158 -13245.4 63
4200 0.257158 -13245.4 63
4300 0.257158 -13245.4 63
4400 0.257158 -13245.4 63
4500 0.257158 -13245.4 63
4600 0.257158 -13245.4 63
4700 0.257158 -13245.4 63
4800 0.257158 -13245.4 63
4900 0.257158 -13245.4 63
5000 0.257158 -13245.4 63
