# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.285731 -42477.7 70
200 0.285731 -42477.7 70
300 0.285731 -42477.7 70
400 0.285731 -42477.7 70
500 0.285731 -42477.7 70
600 0.285731 -42477.7 70
700 0.285731 -42477.7 70
800 0.285731 -42477.7 70
900 0.285731 -42477.7 70
1000 0.285731 -42477.7 70
1100 0.285731 -42477.7 70
1200 0.285731 -42477.7 70
1300 0.285731 -42477.7 70
1400 0.285731 -42477.7 70
1500 0.285731 -42477.7 70
1600 0.285731 -42477.7 70
1700 0.285731 -42477.7 70
1800 0.285731 -42477.7 70
1900 0.285731 -42477.7 70
2000 0.285731 -42477.7 70
2100 0.285731 -42477.7 70
2200 0.285731 -42477.7 70
2300 0.285731 -42477.7 70
2400 0.285731 -42477.7 70
2500 0.285731 -42477.7 70
2600 0.285731 -42477.7 70
2700 0.285731 -42477.7 70
2800 0.285731 -42477.7 70
2900 0.285731 -42477.7 70
3000 0.285731 -42477.7 70
3100 0.285731 -42477.7 70
3200 0.285731 -42477.7 70
3300 0.285731 -42477.7 70
3400 0.285731 -42477.7 70
3500 0.285731 -42477.7 70
3600 0.285731 -42477.7 70
3700 0.285731 -42477.7 70
3800 0.285731 -42477.7 70
3900 0.285731 -42477.7 70
4000 0.285731 -42477.7 70
4100 0.285731 -42477.7 70
4200 0.285731 -42477.7 70
4300 0.285731 -42477.7 70
4400 0.285731 -42477.7 70
4500 0.285731 -42477.7 70
4600 0.285731 -42477.7 70
4700 0.285731 -42477.7 70
4800 0.285731 -42477.7 70
4900 0.285731 -42477.7 70
5000 0.285731 -42477.7 70
5100 0.285731 -42477.7 70
5200 0.285731 -42477.7 70
5300 0.285731 -42477.7 70
5400 0.285731 -42477.7 70
5500 0.285731 -42477.7 70
5600 0.285731 -42477.7 70
5700 0.285731 -42477.7 70
5800 0.285731 -42477.7 70
5900 0.285731 -42477.7 70
6000 0.285731 -42477.7 70
6100 0.285731 -42477.7 70
6200 0.285731 -42477.7 70
6300 0.285731 -42477.7 70
6400 0.285731 -42477.7 70
6500 0.285731 -42477.7 70
6600 0.285731 -42477.7 70
6700 0.285731 -42477.7 70
6800 0.285731 -42477.7 70
6900 0.285731 -42477.7 70
7000 0.285731 -42477.7 70
7100 0.285731 -42477.7 70
7200 0.285731 -42477.7 70
7300 0.285731 -42477.7 70
7400 0.285731 -42477.7 70
7500 0.285731 -42477.7 70
7600 0.285731 -42477.7 70
7700 0.285731 -42477.7 70
7800 0.285731 -42477.7 70
7900 0.285731 -42477.7 70
8000 0.285731 -42477.7 70
8100 0.285731 -42477.7 70
8200 0.285731 -42477.7 70
8300 0.285731 -42477.7 70
8400 0.285731 -42477.7 70
8500 0.285731 -42477.7 70
8600 0.285731 -42477.7 70
8700 0.285731 -42477.7 70
8800 0.285731 -42477.7 70
8900 0.285731 -42477.7 70
9000 0.285731 -42477.7 70
9100 0.285731 -42477.7 70
9200 0.285731 -42477.7 70
9300 0.285731 -42477.7 70
9400 0.285731 -42477.7 70
9500 0.285731 -42477.7 70
9600 0.285731 -42477.7 70
9700 0.285731 -42477.7 70
9800 0.285731 -42477.7 70
9900 0.285731 -42477.7 70
10000 0.285731 -42477.7 70
