# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.342877 -79591.2 84
200 0.342877 -79591.2 84
300 0.342877 -79591.2 84
400 0.342877 -79591.2 84
500 0.342877 -79453.5 84
600 0.342877 -78902.8 84
700 0.342877 -78902.8 84
800 0.342877 -78902.8 84
900 0.342877 -78902.8 84
1000 0.342877 -78902.8 84
1100 0.342877 -78902.8 84
1200 0.342877 -78902.8 84
1300 0.342877 -78902.8 84
1400 0.342877 -78902.8 84
1500 0.342877 -78902.8 84
1600 0.342877 -78902.8 84
1700 0.342877 -78902.8 84
1800 0.342877 -78902.8 84
1900 0.342877 -78902.8 84
2000 0.342877 -78902.8 84
2100 0.342877 -78902.8 84
2200 0.342877 -78902.8 84
2300 0.342877 -78902.8 84
2400 0.342877 -78902.8 84
2500 0.342877 -78902.8 84
2600 0.342877 -78902.8 84
2700 0.342877 -78902.8 84
2800 0.342877 -78902.8 84
2900 0.342877 -78902.8 84
3000 0.342877 -78902.8 84
3100 0.342877 -78902.8 84
3200 0.342877 -78902.8 84
3300 0.342877 -78902.8 84
3400 0.342877 -78902.8 84
3500 0.342877 -78902.8 84
3600 0.342877 -78902.8 84
3700 0.342877 -78902.8 84
3800 0.342877 -78902.8 84
3900 0.342877 -78902.8 84
4000 0.342877 -78867.2 84
4100 0.342877 -78724.7 84
4200 0.342877 -78724.7 84
4300 0.342877 -78724.7 84
4400 0.342877 -78724.7 84
4500 0.342877 -78724.7 84
4600 0.342877 -78724.7 84
4700 0.342877 -78724.7 84
4800 0.342877 -78724.7 84
4900 0.342877 -78724.7 84
5000 0.342877 -78724.7 84
5100 0.342877 -78724.7 84
5200 0.342877 -78724.7 84
5300 0.342877 -78724.7 84
5400 0.342877 -78724.7 84
5500 0.342877 -78724.7 84
5600 0.342877 -78724.7 84
5700 0.342877 -78724.7 84
5800 0.342877 -78724.7 84
5900 0.342877 -78724.7 84
6000 0.342877 -78724.7 84
6100 0.342877 -78724.7 84
6200 0.342877 -78724.7 84
6300 0.342877 -78724.7 84
6400 0.342877 -78724.7 84
6500 0.342877 -78724.7 84
6600 0.342877 -78724.7 84
6700 0.342877 -78724.7 84
6800 0.342877 -78724.7 84
6900 0.342877 -78724.7 84
