# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.43676 -95089.4 107
200 0.43676 -95089.4 107
300 0.43676 -95089.4 107
400 0.43676 -95089.4 107
500 0.43676 -95089.4 107
600 0.43676 -95089.4 107
700 0.43676 -95089.4 107
800 0.43676 -95089.4 107
900 0.43676 -95089.4 107
1000 0.43676 -95089.4 107
1100 0.43676 -95089.4 107
1200 0.43676 -95089.4 107
1300 0.43676 -95089.4 107
1400 0.43676 -95089.4 107
1500 0.43676 -95089.4 107
1600 0.43676 -95089.4 107
1700 0.43676 -95089.4 107
1800 0.43676 -95089.4 107
1900 0.43676 -95089.4 107
2000 0.43676 -95089.4 107
2100 0.43676 -95089.4 107
2200 0.43676 -95089.4 107
2300 0.43676 -95089.4 107
2400 0.43676 -95089.4 107
2500 0.43676 -95089.4 107
2600 0.43676 -95089.4 107
2700 0.43676 -95089.4 107
2800 0.43676 -95089.4 107
2900 0.43676 -95089.4 107
3000 0.43676 -95089.4 107
3100 0.43676 -95089.4 107
3200 0.43676 -95089.4 107
3300 0.43676 -95089.4 107
3400 0.43676 -95089.4 107
3500 0.43676 -95089.4 107
3600 0.43676 -95089.4 107
3700 0.43676 -95089.4 107
