# Time-averaged data for fix ave
# TimeStep v_rho v_p v_n1
100 0.424515 -100854 104
200 0.424515 -100854 104
300 0.424515 -100854 104
400 0.424515 -100854 104
500 0.424515 -100854 104
600 0.424515 -100854 104
700 0.424515 -100854 104
800 0.424515 -100854 104
900 0.424515 -100854 104
1000 0.424515 -100854 104
1100 0.424515 -100854 104
1200 0.424515 -100854 104
1300 0.424515 -100854 104
1400 0.424515 -100854 104
1500 0.424515 -100854 104
1600 0.424515 -100854 104
1700 0.424515 -100854 104
1800 0.424515 -100854 104
1900 0.424515 -100854 104
2000 0.424515 -100446 104
2100 0.424515 -100361 104
2200 0.424515 -100361 104
2300 0.424515 -100361 104
2400 0.424515 -100361 104
2500 0.424515 -100361 104
2600 0.424515 -100361 104
2700 0.424515 -100361 104
2800 0.424515 -100361 104
2900 0.424515 -100361 104
